Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kriegler, E., Riahi, K., Bauer, N., Schwanitz, V.J., Petermann, N., Bosetti, V., Marcucci, A., Otto, S., Paroussos, L., Rao, S., Arroyo Currás, T., Ashina, S., Bollen, J., Eom, J., Hamdi-Cherif, M., Longden, T., Kitous, A., Méjean, A., Sano, F., Schaeffer, M., Wada, K., Capros, P., P. van Vuuren, D., Edenhofer, O.","Making or breaking climate targets: The AMPERE study on staged accession scenarios for climate policy",2015,"Technological Forecasting and Social Change","90","PA",,"24","44",,58,10.1016/j.techfore.2013.09.021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916891763&doi=10.1016%2fj.techfore.2013.09.021&partnerID=40&md5=43e53ddbbf29991950d6119c5c035d77",Article,Scopus,2-s2.0-84916891763
"Iyer, G., Hultman, N., Eom, J., McJeon, H., Patel, P., Clarke, L.","Diffusion of low-carbon technologies and the feasibility of long-term climate targets",2015,"Technological Forecasting and Social Change","90","PA",,"103","118",,24,10.1016/j.techfore.2013.08.025,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916887569&doi=10.1016%2fj.techfore.2013.08.025&partnerID=40&md5=17234104495bb876fb6a0b776fc929b8",Article,Scopus,2-s2.0-84916887569
"Otto, S.A.C., Gernaat, D.E.H.J., Isaac, M., Lucas, P.L., van Sluisveld, M.A.E., van den Berg, M., van Vliet, J., van Vuuren, D.P.","Impact of fragmented emission reduction regimes on the energy market and on CO<inf>2</inf> emissions related to land use: A case study with China and the European Union as first movers",2015,"Technological Forecasting and Social Change","90","PA",,"220","229",,10,10.1016/j.techfore.2014.01.015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916933924&doi=10.1016%2fj.techfore.2014.01.015&partnerID=40&md5=3c4af3610394b3e12e0073d355964156",Article,Scopus,2-s2.0-84916933924
"Selosse, S., Ricci, O.","Achieving negative emissions with BECCS (bioenergy with carbon capture and storage) in the power sector: New insights from the TIAM-FR (TIMES Integrated Assessment Model France) model",2014,"Energy","76",,,"967","975",,6,10.1016/j.energy.2014.09.014,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908481168&doi=10.1016%2fj.energy.2014.09.014&partnerID=40&md5=4bb2ca45f2e4f065b7a232162a4a43fc",Article,Scopus,2-s2.0-84908481168
"Humpenöder, F., Popp, A., Dietrich, J.P., Klein, D., Lotze-Campen, H., Bonsch, M., Bodirsky, B.L., Weindl, I., Stevanovic, M., Müller, C.","Investigating afforestation and bioenergy CCS as climate change mitigation strategies",2014,"Environmental Research Letters","9","6", 064029,"","",,32,10.1088/1748-9326/9/6/064029,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903648130&doi=10.1088%2f1748-9326%2f9%2f6%2f064029&partnerID=40&md5=32539c043f7daf45bcefb9d8ef890beb",Article,Scopus,2-s2.0-84903648130
"Luderer, G., Krey, V., Calvin, K., Merrick, J., Mima, S., Pietzcker, R., Van Vliet, J., Wada, K.","The role of renewable energy in climate stabilization: Results from the EMF27 scenarios",2014,"Climatic Change","123","3-4",,"427","441",,45,10.1007/s10584-013-0924-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898426767&doi=10.1007%2fs10584-013-0924-z&partnerID=40&md5=dac2e076057ebd0cc2d7da28c674c9c8",Article,Scopus,2-s2.0-84898426767
"Kriegler, E., Weyant, J.P., Blanford, G.J., Krey, V., Clarke, L., Edmonds, J., Fawcett, A., Luderer, G., Riahi, K., Richels, R., Rose, S.K., Tavoni, M., van Vuuren, D.P.","The role of technology for achieving climate policy objectives: Overview of the EMF 27 study on global technology and climate policy strategies",2014,"Climatic Change","123","3-4",,"353","367",,113,10.1007/s10584-013-0953-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898548471&doi=10.1007%2fs10584-013-0953-7&partnerID=40&md5=972e0ed9f2aa0a3298ab42cfd97f04c4",Article,Scopus,2-s2.0-84898548471
"Kanudia, A., Labriet, M., Loulou, R.","Effectiveness and efficiency of climate change mitigation in a technologically uncertain World",2014,"Climatic Change","123","3-4",,"543","558",,9,10.1007/s10584-013-0854-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898538287&doi=10.1007%2fs10584-013-0854-9&partnerID=40&md5=8ae619c3f2771466f7d19ccb864a0ce9",Article,Scopus,2-s2.0-84898538287
"Blanford, G., Merrick, J., Richels, R., Rose, S.","Trade-offs between mitigation costs and temperature change",2014,"Climatic Change","123","3-4",,"527","541",,7,10.1007/s10584-013-0869-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898546571&doi=10.1007%2fs10584-013-0869-2&partnerID=40&md5=e9b56013edf5cd8e560104dd62d31f48",Article,Scopus,2-s2.0-84898546571
"Blanford, G.J., Kriegler, E., Tavoni, M.","Harmonization vs. fragmentation: Overview of climate policy scenarios in EMF27",2014,"Climatic Change","123","3-4",,"383","396",,19,10.1007/s10584-013-0951-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898543746&doi=10.1007%2fs10584-013-0951-9&partnerID=40&md5=c68341408b555bdabbf6709101cc2315",Article,Scopus,2-s2.0-84898543746
"McCollum, D., Krey, V., Kolp, P., Nagai, Y., Riahi, K.","Transport electrification: A key element for energy system transformation and climate stabilization",2014,"Climatic Change","123","3-4",,"651","664",,19,10.1007/s10584-013-0969-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898544354&doi=10.1007%2fs10584-013-0969-z&partnerID=40&md5=92ca55036cac7218da5ad4387fec1c6c",Article,Scopus,2-s2.0-84898544354
